Question,Answer
"Was passiert, wenn ich mein Disney+ Kundenkonto lösche?","Disney+ kann dann nicht mehr genutzt werden, da die Verbindung zu deinem verknüpften Kaufland Card XTRA Konto nicht mehr existiert. Die kostenpflichtige Zugangsberechtigung für Disney+ wird mit der Schwarz Digits Content GmbH abgeschlossen und wird dadurch nicht automatisch gekündigt. Somit werden weiterhin die anfallenden Gebühren berechnet. Soll die kostenpflichtige Zugangsberechtigung beendet werden, so muss diese über die Kaufland-App oder den Kaufland Kundenservice direkt gekündigt werden."
Warum wurde meine Disney+ Option systemseitig gekündigt?,"Eine systemseitige Kündigung erfolgt automatisiert, wenn die monatliche Gebühr nicht erfolgreich von deinem hinterlegten Zahlungsmittel eingezogen werden konnte. Um weitere fehlgeschlagene Transaktionen zu vermeiden, greifen automatisierte Präventionsmaßnahmen. Infolgedessen besteht aktuell eine technische Einschränkung, die eine Neuanmeldung über Kaufland Card XTRA verhindert. Gemäß unseren Nutzungsbedingungen endet das Abonnement in diesem Fall nach Ablauf des bereits bezahlten Zeitraums."
"Wann ist eine Neuanmeldung über Kaufland Card XTRA wieder möglich, wenn eine systemseitige Kündigung erfolgt ist ?","Wir arbeiten derzeit an einer technischen Lösung, um die Neuanmeldung nach einer systemseitigen Kündigung wieder zu ermöglichen. Da dies eine umfassende Systemanpassung erfordert, ist die Buchung über Kaufland Card XTRA bis auf Weiteres nicht möglich. In der Zwischenzeit kannst du Disney+ jederzeit direkt über die Disney+ App oder Webseite zu den dortigen Standardkonditionen nutzen."
Wie kann ich das Glücksrad nutzen? Was kann ich gewinnen?​,Das Spiel steht regelmäßig innerhalb der Kaufland-App zur Verfügung. Im Aktionszeitraum kannst du nach dem Einkauf – ab einem bestimmten Einkaufswert – in der Kaufland-App am digitalen Glücksrad drehen. Pro Tag ist eine Teilnahme möglich. Zu gewinnen gibt es zum Beispiel Coupons oder Treuepunkte. Die gewonnenen Coupons kannst du nach Aktivierung und teilweise bei Erreichen von bestimmten Mindesteinkaufswerten in den deutschen Kaufland-Filialen einlösen. Die Gewinne werden nach dem Zufallsprinzip automatisch ausgespielt.
Kann ich ohne die Kaufland-App an der Glücksrad-Aktion teilnehmen?,"Nein, die Teilnahme ist nur innerhalb der Kaufland-App möglich."
"Wie lange kann ich meinen Glücksrad-Dreh einlösen? Was passiert mit meinem Glücksrad-Dreh, wenn der Aktionszeitraum des Glücksrads zu Ende ist?",Nach dem qualifizierenden Einkauf kannst du innerhalb von 3 Tagen am Glücksrad drehen. Mit Ende des Aktionszeitraums endet diese Möglichkeit.
"Was passiert mit meinen Gewinnen, wenn der Aktionszeitraum des Glücksrads beendet ist?",Der für die Coupons jeweils festgelegte Gültigkeitszeitraum ist entscheidend – egal ob die Glücksrad-Aktion selbst noch läuft oder nicht.
Was ist das monatliche Gewinnspiel und wie kann ich daran teilnehmen?,Du nimmst automatisch mit dem Scannen von Kaufland Card XTRA (maximal ein Einkauf pro Tag) an unserem monatlichen Gewinnspiel teil. Das gilt auch für Einkäufe mit Kaufland Card XTRA auf unserem Online-Marktplatz Kaufland.de . Die Gewinne wechseln monatlich. Jeden Monat werden per Zufallsprinzip Gewinner gezogen und anschließend schriftlich unter der angegebenen Adresse benachrichtigt sowie unter kaufland-xtra.de/gewinnspiele veröffentlicht.
Gibt es noch weitere Gewinnspiele mit Kaufland Card XTRA und wie kann ich daran teilnehmen?,"Ja, es gibt noch weitere exklusive Gewinnspiele mit Kaufland Card XTRA. Du findest die aktuellen Gewinnspiele unter kaufland-xtra.de/gewinnspiele . Um an den Gewinnspielen teilnehmen zu können, musst du das Teilnahmeformular vollständig ausfüllen und dann auf „Absenden“ klicken. Nach Teilnahmeschluss werden die Gewinner per Zufallsprinzip ermittelt, per E-Mail benachrichtigt und unter kaufland-xtra.de/gewinnspiele veröffentlicht."
"Ich kann nicht am Gewinnspiel teilnehmen, da die Seite nicht vollständig geladen wird. Was kann ich tun?","Wenn ein Gewinnspiel bei dir nicht vollständig geladen wird, solltest du in den Einstellungen den Browser-Cache, deine Cookies und die temporären Dateien löschen. Wichtig: Schließe anschließend unbedingt alle geöffneten Browserfenster, damit der Löschvorgang abgeschlossen wird."
"Wo kann ich sehen, ob ich bei einem Gewinnspiel gewonnen habe?","Unter kaufland-xtra.de/gewinnspiele findest du die Gewinner unserer letzten Aktionen. Wähle das Gewinnspiel aus, an dem du teilgenommen hast, und prüfe, ob du zu den glücklichen Gewinnern gehörst."
Wie kann ich das Glücksrad nutzen? Was kann ich gewinnen?​,Das Spiel steht regelmäßig innerhalb der Kaufland-App zur Verfügung. Im Aktionszeitraum kannst du nach dem Einkauf – ab einem bestimmten Einkaufswert – in der Kaufland-App am digitalen Glücksrad drehen. Pro Tag ist eine Teilnahme möglich. Zu gewinnen gibt es zum Beispiel Coupons oder Treuepunkte. Die gewonnenen Coupons kannst du nach Aktivierung und teilweise bei Erreichen von bestimmten Mindesteinkaufswerten in den deutschen Kaufland-Filialen einlösen. Die Gewinne werden nach dem Zufallsprinzip automatisch ausgespielt.
Kann ich ohne die Kaufland-App an der Glücksrad-Aktion teilnehmen?,"Nein, die Teilnahme ist nur innerhalb der Kaufland-App möglich."
"Wie lange kann ich meinen Glücksrad-Dreh einlösen? Was passiert mit meinem Glücksrad-Dreh, wenn der Aktionszeitraum des Glücksrads zu Ende ist?",Nach dem qualifizierenden Einkauf kannst du innerhalb von 3 Tagen am Glücksrad drehen. Mit Ende des Aktionszeitraums endet diese Möglichkeit.
"Was passiert mit meinen Gewinnen, wenn der Aktionszeitraum des Glücksrads beendet ist?",Der für die Coupons jeweils festgelegte Gültigkeitszeitraum ist entscheidend – egal ob die Glücksrad-Aktion selbst noch läuft oder nicht.
Was ist Kaufland Pay?,"Kaufland Pay ist eine mobile Zahlungsmethode, mit der Kaufland-Einkäufe direkt über die Kaufland-App bezahlt werden können. Kaufland Card XTRA wird dabei automatisch verknüpft, so dass mit nur einem Scan bezahlt und alle Vorteile von Kaufland Card XTRA genutzt werden können. So einfach geht es: Kaufland-App öffnen und bei Kaufland Card XTRA registrieren. Sichere PIN zur Bezahlung vergeben. Kaufland Pay mit dem persönlichen Bankkonto verknüpfen. Sobald der QR-Code von Kaufland Card XTRA in der Kaufland-App geöffnet ist, ist die Option „Kaufland Pay“ aktiviert. Bestätige mit deinem PIN oder deinen biometrischen Daten und scanne den blauen QR-Code an der Kasse."
"Ist Kaufland Card XTRA auch ohne die Funktion Kaufland Pay nutzbar, wenn Kaufland Pay aktiviert wurde?","Ja, einfach auf dem Startbildschirm der App den QR-Code von Kaufland Card XTRA öffnen und die Option „Bezahlen mit Kaufland Pay“ deaktivieren. Es reicht auch eine Information an das Kassenpersonal, dass die Zahlung bar beziehungsweise mit Kredit- oder Debitkarte erfolgen soll."
Kann Kaufland Pay jederzeit deaktiviert werden?,"Ja, hierfür bitte einfach den QR-Code von Kaufland Card XTRA über den Startbildschirm der Kaufland-App öffnen und „Bezahlen mit Kaufland Pay“ über den Schieberegler deaktivieren. Über diesen Schieberegler kann jederzeit individuell entschieden werden, wann Kaufland Pay aktiviert, beziehungsweise deaktiviert ist."
Wer erhält Zugriff auf die Kontodaten und wie sicher sind sie?,"Kaufland hält über den Zahlungsdienstleister Bluecode alle Datensicherheitsstandards ein und teilt keine Informationen mit unautorisierten Dritten. Die Standards können unter den Datenschutzbestimmungen nachgelesen werden. Kaufland sieht und speichert keine Informationen in Zusammenhang mit den persönlichen Bankdaten der Kunden. Sicherheit bei der Bezahlung hat bei Kaufland oberste Priorität. Um die bestmöglichen Vorgehensweisen bezüglich Daten und Zahlungen über Konten sicherzustellen, nutzt die Kaufland-App Verschlüsselungen und Sicherheitsmechanismen auf dem Niveau von Banken. Die Login-Daten der Kaufland-App werden auf sicheren Servern gespeichert. Die Kontodaten sind für Kaufland unzugänglich, da die Daten von einem zertifizierten Abrechnungspartner gehalten werden. Kontoinformationen werden nicht in der Kaufland-App gespeichert und werden in verschlüsselter Form dem zertifizierten Abrechnungspartner übermittelt, da dieser der einzige Handlungsträger ist, der die Daten zu Abrechnungszwecken verarbeitet. Die individuelle Kaufland Pay PIN schützt die Nutzer vor Missbrauch bei sämtlichen Zahlungen und sollte daher niemals Dritten mitgeteilt werden."
Ist Kaufland Pay auch im Ausland nutzbar?,"Kaufland Pay ist derzeit nur in Deutschland und der Tschechischen Republik aktiv. Um Kaufland Pay in der Tschechischen Republik nutzen zu können, muss man sich nach Auswahl einer tschechischen Kaufland-Filiale für das tschechische Kaufland Card XTRA Vorteilsprogramm registieren und erneut für Kaufland Pay. Die Kaufland Pay Daten für Deutschland gehen dabei nicht verloren."
Wie kann eine Kaufland Pay PIN geändert werden?,Zum Ändern der Kaufland Pay PIN einfach unter „Einstellungen“ die Schaltfläche „PIN ändern“ auswählen und den weiteren Anweisungen folgen.
Wie kann ein Kaufland Pay Konto gelöscht werden?,Zum Löschen des Kaufland Pay Kontos einfach unter der Registerkarte „Einstellungen“ die Schaltfläche „Zurücksetzen“ auswählen und den weiteren Anweisungen folgen.
Was ist Bluecode?,"Bluecode ist ein mobiles Zahlungsverfahren, durch das man mit Kaufland Pay in allen deutschen Kaufland-Filialen schnell und bequem bezahlen kann: An der Kasse einfach den blauen QR-Code (Bluecode-Token), der bei jedem Öffnen des QR-Codes von Kaufland Card XTRA in der Kaufland-App erscheint, scannen."
Wie genau funktioniert mobiles Bezahlen mit Kaufland Pay und Bluecode?,"In der Kaufland-App kann Bluecode unter der Rubrik „Kaufland Pay“ mit einem Bankkonto verbunden werden. Dabei erhält Bluecode weder Namen noch Kontodaten. Diese Daten bleiben bei der Hausbank beziehungsweise im Fall des Bluecode-Lastschriftverfahrens bei einem lizenzierten Abrechnungspartner / Lastschriftabwickler. Bei jedem Aufruf des QR-Codes von Kaufland Card XTRA in der Kaufland-App erscheint ein neuer, nur einmal gültiger blauer QR-Code (Bluecode-Token). Beim Bezahlen muss einfach dieser Bluecode an der Kasse vorgezeigt werden, damit dieser eingescannt werden kann. In weniger als einer halben Sekunde ist der Zahlvorgang abgeschlossen. Ganz schnell und einfach – und ohne PIN-Eingabe am Bezahlterminal!"
Wie kann Kaufland Pay / Bluecode mit einem Bankkonto verbunden werden?,"Es gibt zwei Möglichkeiten zur Verknüpfung mit einem Bankkonto: 1. Bei Partner-Banken kann die Anmeldung direkt in der App beziehungsweise im Online-Banking der Bank erfolgen. Diese Anmeldung geht besonders schnell und ist bei allen Partner-Banken von Bluecode möglich. 2. Bei allen anderen Banken erfolgt die Anmeldung durch ein SEPA-Lastschriftverfahren („Bluecode-Lastschriftverfahren“). In diesem Fall wird bei der Bluecode-Registrierung ein Lastschriftmandat an einen lizensierten Abrechnungspartner erteilt, der dann im Auftrag des Zahlungsdienstleisters des Händlers die Bluecode-Zahlungen (Lastschriften) abwickelt. Derzeitige Abrechnungspartner sind: Payone GmbH und Volksbank eG. Der Lastschriftabwickler beziehungsweise Abrechnungspartner wird im Registrierungsprozess von einem technischen Dienstleister, der Secure Payment Technologies GmbH, unterstützt."
Muss eine Kreditkarte hinterlegt werden?,"Nein, eine Kreditkarte ist nicht notwendig. Bluecode wird direkt mit einem bestehenden Bankkonto einer Bank oder Sparkasse verbunden. Kreditkarten oder EC-/Girokarten müssen somit nicht hinterlegt werden."
Aus welchem Grund müssen die Kontozugangsdaten angegeben werden?,"Sicherheit im gesamten Prozess ist einer der wichtigsten Faktoren in der Zahlungsabwicklung. Um auszuschließen, dass fremde Konten verwendet werden können, nutzen die Abrechnungspartner beziehungsweise Lastschriftabwickler bankeigene Dienste (beispielsweise EPS, Giropay) oder auch lizenzierte Drittdienstleister (beispielsweise Klarna, FinTecSystems) zur Kontoüberprüfung. Die Kontoüberprüfung dient nur dazu, die Berechtigung des Nutzers durch den erfolgreichen Zugang zum Konto sicherzustellen. Es werden keine finanziellen Daten vom Konto dazu benutzt, ein Scoring oder Ähnliches zu erstellen."
Was kostet Kaufland Pay mit Bluecode?,Die Nutzung von Kaufland Pay mit Bluecode ist kostenlos.
Welche Mehrwerte bietet Kaufland Pay mit Bluecode?,"Kaufland Pay ermöglicht einen schnellen, einfachen und sicheren Bezahlvorgang mit der Kaufland-App. Mit nur einem Scan wird der Einkauf bezahlt und die Kaufland Card XTRA Vorteile gesichert."
Warum ist das Bezahlen mit Bluecode sicher?,"Gerade wenn es um Geld geht, hat Sicherheit oberste Priorität. Aus diesem Grund haben wir mit Bluecode eine Technik und Lösung integriert, die Geld und Daten schützt. Bluecode ist eine hochsichere Bezahlmethode, denn: Für jede einzelne Zahlung wird ein neuer Bluecode-Token (blauer QR-Code) erstellt. Jeder Bluecode-Token kann nur einmal verwendet werden. Im Zahlungskreislauf werden keine vertraulichen Daten übertragen. Bei Bluecode werden weder persönliche Daten noch andere Informationen, die einen Rückschluss auf das Konto des Benutzers oder seine Identität zulassen, gespeichert. Weitere Informationen gibt es hier: Sicher per Handy bezahlen"
Wie oft kann ein Bluecode-Token verwendet werden?,Ein Bluecode-Token kann nur einmal verwendet werden und ist nur für vier Minuten gültig.
Welche Voraussetzungen gelten für die Nutzung von Bluecode?,"Benötigt wird: ein appfähiges Endgerät mit einer ausreichend aktuellen Betriebssystemversion, ein Konto bei einer Bank oder Sparkasse, ein Alter von mindestens 18 Jahren."
Muss das Endgerät für das Bezahlen mit Bluecode mit dem Internet verbunden sein?,"In der Regel benötigt die Bluecode-App im Hintergrund keine dauerhafte Datenverbindung, da stets eine gewisse Anzahl von Bluecode-Token in der App zum Abruf bereitstehen. Es kann vorkommen, dass sich keine Bluecode-Token mehr in der App befinden, da diese abgerufen wurden und seither keine Internetverbindung mehr bestanden hat. Die Kaufland-App generiert jedoch neue Bluecode-Token, sobald wieder eine Datenverbindung besteht und der QR-Code von Kaufland Card XTRA geöffnet wird. In diesem Fall muss das Endgerät über eine aktive Datenverbindung verfügen."
Was tun bei der Fehlermeldung „Netzwerkprobleme“?,"Manches Mal verhindern auch sogenannte Firewalls von Wifi-Netzwerken die ungehinderte Kommunikation der Kaufland-App mit den Servern. Eine Lösungsmöglichkeit kann sein, die WLAN-Verbindung auf dem Endgerät auszuschalten. Falls die Meldung bestehen bleibt, kann das Bluecode Kundencenter weiterhelfen: Per Telefon:+49 800 0100 344 Per E-Mail: support@bluecode.com"
Welche Limits gibt es bei Bluecode Zahlungen?,"Der höchste Betrag pro Bezahlvorgang wird in der Kaufland-App nach der Verknüpfung des Bankkontos angezeigt und lässt sich in den Bluecode Einstellungen unter dem Punkt „Limits“ ablesen. Die Höhe der Limits können hierbei von Bank zu Bank variieren. Zeitlimit Jeder Bluecode-Token gilt nur für eine Zahlung und wird danach deaktiviert und gelöscht. Aus Sicherheitsgründen läuft der Bluecode-Token nach vier Minuten ab. Sollte der blaue QR-Code bis dahin nicht verwendet worden sein, wird er damit ungültig und gelöscht. Um eine Zahlung durchzuführen, einfach den PIN erneut in der Kaufland-App eingeben – auf dem Bildschirm erscheint sofort ein neuer, gültiger QR-Code."
Was muss im Verlustfall des Endgerätes beachtet werden?  Wie kann die Funktion Kaufland Pay schnellstmöglich gesperrt werden?,"Bei Verlust oder Diebstahl des Endgeräts muss dies unverzüglich gemeldet werden, um das Bluecode Konto zu sperren. Das gilt ebenfalls bei Verdacht auf eine missbräuchliche Verwendung der Bluecode Zahlungsfunktion. Die Kaufland Pay Funktion in der Kaufland-App ist zunächst per PIN und / oder Face-ID gesichert. Der Sperr-Service, der das Bluecode Konto generell vor unberechtigtem Zugriff schützt, ist rund um die Uhr zu erreichen: Hierfür gibt es folgende Möglichkeiten: Telefonisch über die 24h-Sperrhotline: für Deutschland 08000 400 110 Für die Sperrung benötigt unser Supportteam die Bluecode-ID. Diese wird bei jeder Transaktion von Bluecode in der Buchung auf dem Bankkonto angegeben. Die Bluecode-ID findet sich also auf den jeweiligen Kontoauszügen und im Online-Banking. Falls es sich um eine Bluecode Partner-Bank handelt, ist eine Sperrung direkt über das Online-Banking möglich."
Wofür wird beim Bezahlen die PIN benötigt?,"Kaufland Pay schützt per PIN und / oder Face-ID vor unberechtigten Zugriffen. Damit stellen wir sicher, dass nur befugte Personen mit dem jeweiligen Account von Kaufland Pay bezahlen können. Unberechtigte können nicht auf die Funktionen von Kaufland Pay zugreifen. So wird Missbrauch verhindert."
